,NUMBER,STREET,UNIT,CITY,DISTRICT,COUNTRY,REGION,POSTCODE,ID
264816,23,Kettener Straße,,Geisa,,de,,,
12844,90,Bieblacher Straße,,Gera,,de,,,
423874,1,Neue Mühle,,Hohenstein,,de,,,
164949,10,Bei der Kirche,,Niederzimmern,,de,,,
327351,4,Im Siebengehege,,Günthersleben-Wechmar,,de,,,
507127,50,Freiherr-vom-Stein-Straße,,Frankenblick,,de,,,
494389,34,Apelsbergstraße,,Neuhaus am Rennweg,,de,,,
249341,24,Erich-Honstein-Straße,,Eisenach,,de,,,
255120,16,Dorfstraße,,Bad Salzungen,,de,,,
560710,41,Gasse,,Thalwenden,,de,,,
80503,16,Grimmstraße,,Erfurt,,de,,,
48298,10,Eichberg,,Mohlsdorf-Teichwolframsdorf,,de,,,
1700,23,Ruckdeschelstraße,,Gera,,de,,,
259639,6,Mieswarz,,Buttlar,,de,,,
602484,2,Feldstraße,,Südeichsfeld,,de,,,
369676,15,Hauptstraße,,Schöngleina,,de,,,
254975,2a,Sorghofstraße,,Bad Salzungen,,de,,,
540175,41a,Oberschöbling,,Königsee-Rottenbach,,de,,,
365137,15,Dorfstraße,,Lehesten,,de,,,
35582,21,Turmstraße,,Weida,,de,,,
321590,25,Wintersteiner Straße,,Waltershausen,,de,,,
480926,6,Schillerstraße,,Langewiesen,,de,,,
427005,125,Straße der Einheit,,Heringen/Helme,,de,,,
61428,14,Zweitschen,,Mehna,,de,,,
343295,12,Steingraben,,Jena,,de,,,
451436,59,Oberstraße,,Sondershausen,,de,,,
330023,29a,Karl-Marx-Straße,,Nesse-Apfelstädt,,de,,,
79408,7a,Freiligrathstraße,,Erfurt,,de,,,
498735,28,Gefeller Straße,,Sonneberg,,de,,,
449741,5,Jechaburger Weg,,Sondershausen,,de,,,
274301,15,Werrator,,Tiefenort,,de,,,
393796,6,Weltwitz,,Schmieritz,,de,,,
71428,93,Robert-Koch-Straße,,Schmölln,,de,,,
96708,19,Liebknechtstraße,,Erfurt,,de,,,
426523,9,Straße der Einheit,,Heringen/Helme,,de,,,
465330,9a,Hüttenweg,,Frauenwald,,de,,,
67185,8,Dorfplatz,,Nobitz,,de,,,
462193,17,Am Kupferrasen,,Arnstadt,,de,,,
92127,18,Josef-Albers-Straße,,Erfurt,,de,,,
415029,20,Neustadtstraße,,Nordhausen,,de,,,
498880,115b,Köppelsdorfer Straße,,Sonneberg,,de,,,
25542,75,Hirschweg,,Greiz,,de,,,
480807,31,Oehrenstöcker Straße,,Langewiesen,,de,,,
487374,49,Im Winkel,,Witzleben,,de,,,
472778,9,Rehestädter Straße,,Amt Wachsenburg,,de,,,
417398,18,Sperbergasse,,Nordhausen,,de,,,
21928,26,Leonhardtstraße,,Greiz,,de,,,
509781,7,Watzdorf,,Bad Blankenburg,,de,,,
281148,30,Ruhlaer Straße,,Wutha-Farnroda,,de,,,
304857,4,Helenenstraße,,Gotha,,de,,,
403229,8,Pöritzsch,,Saalburg-Ebersdorf,,de,,,
381303,3a,Emil-Otto-Straße,,Bad Lobenstein,,de,,,
337248,2,Blumenstraße,,Jena,,de,,,
503576,22,Karl-Marx-Straße,,Sonneberg,,de,,,
71904,54,Weidengrund,,Schmölln,,de,,,
16987,12,Ziegelberg,,Bad Köstritz,,de,,,
382048,54a,Unterlemnitz,,Bad Lobenstein,,de,,,
521463,3,Drosselweg,,Rudolstadt,,de,,,
387445,33,Karl-Marx-Straße,,Pößneck,,de,,,
581530,5,Rosa-Luxemburg-Straße,,Herbsleben,,de,,,
390632,17b,Ludwigshof,,Ranis,,de,,,
124544,1,Bahnhof,,Griefstedt,,de,,,
560433,72b,Dorfstraße,,Steinbach,,de,,,
